Doc. No. (GL View),Posting date,Item Text,G/L Account,,Fund,Cost Center,,WBS Element,,Internal Order,,"Funds
Received",Fund Consumed
6400125923,03.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.29
6400126084,03.09.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,350.46
6400126084,03.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.71
6400126084,03.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,38.10
6400126084,03.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,19.11
6400126084,03.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.83
6400126339,03.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
6400126339,03.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400126339,03.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400126339,03.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400126339,03.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400127824,17.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
